Direction,Column,Set,Benchmark,Result
right,Cortex-A53,Baseline,coffeescript,0.8
right,Cortex-A53,Baseline,jshint,1.06
right,Cortex-A53,Baseline,mean,0.88
right,Cortex-A53,Baseline,babylon,0.99
right,Cortex-A53,Baseline,espree,0.53
right,Cortex-A53,Baseline,typescript,1.06
right,Cortex-A53,Baseline,buble,0.58
right,Cortex-A53,Baseline,terser,1.86
right,Cortex-A53,Baseline,prettier,0.81
right,Cortex-A53,Baseline,chai,1.43
right,Cortex-A53,Baseline,prepack,0.84
right,Cortex-A53,Baseline,babel,0.82
right,Cortex-A53,Baseline,esprima,0.81
right,Cortex-A53,Baseline,lebab,0.94
left,Cortex-A53,Baseline,gc:V8.GC_MC_SWEEP,30604
left,Cortex-A53,Baseline,gc:V8.GC_MC_EVACUATE,165882
right,Cortex-A53,Baseline,uglify-js,0.56
right,Cortex-A53,Baseline,acorn,0.88
right,Cortex-A53,Baseline,babel-minify,1.11
right,Cortex-A53,Baseline,postcss,0.6
right,Cortex-A53,Baseline,source-map,0.95
right,Cortex-A53,Patch,coffeescript,0.79
right,Cortex-A53,Patch,jshint,1.01
right,Cortex-A53,Patch,mean,0.88
right,Cortex-A53,Patch,babylon,1.01
right,Cortex-A53,Patch,espree,0.54
right,Cortex-A53,Patch,typescript,1.05
right,Cortex-A53,Patch,buble,0.57
right,Cortex-A53,Patch,terser,1.83
right,Cortex-A53,Patch,prettier,0.82
right,Cortex-A53,Patch,chai,1.43
right,Cortex-A53,Patch,prepack,0.86
right,Cortex-A53,Patch,babel,0.84
right,Cortex-A53,Patch,esprima,0.83
right,Cortex-A53,Patch,lebab,0.94
left,Cortex-A53,Patch,gc:V8.GC_MC_SWEEP,28904
left,Cortex-A53,Patch,gc:V8.GC_MC_EVACUATE,167156
right,Cortex-A53,Patch,uglify-js,0.55
right,Cortex-A53,Patch,acorn,0.88
right,Cortex-A53,Patch,babel-minify,1.1
right,Cortex-A53,Patch,postcss,0.62
right,Cortex-A53,Patch,source-map,0.94
right,Cortex-A72,Baseline,coffeescript,1.64
right,Cortex-A72,Baseline,jshint,2.26
right,Cortex-A72,Baseline,mean,1.87
right,Cortex-A72,Baseline,babylon,1.94
right,Cortex-A72,Baseline,espree,1.05
right,Cortex-A72,Baseline,typescript,2.17
right,Cortex-A72,Baseline,buble,1.26
right,Cortex-A72,Baseline,terser,4.07
right,Cortex-A72,Baseline,prettier,1.82
right,Cortex-A72,Baseline,chai,3.17
right,Cortex-A72,Baseline,prepack,1.84
right,Cortex-A72,Baseline,babel,1.88
right,Cortex-A72,Baseline,esprima,1.9
right,Cortex-A72,Baseline,lebab,2.11
left,Cortex-A72,Baseline,gc:V8.GC_MC_SWEEP,20277
left,Cortex-A72,Baseline,gc:V8.GC_MC_EVACUATE,155262
right,Cortex-A72,Baseline,uglify-js,1.2
right,Cortex-A72,Baseline,acorn,1.43
right,Cortex-A72,Baseline,babel-minify,2.3
right,Cortex-A72,Baseline,postcss,1.24
right,Cortex-A72,Baseline,source-map,2.48
right,Cortex-A72,Patch,coffeescript,1.66
right,Cortex-A72,Patch,jshint,2.18
right,Cortex-A72,Patch,mean,1.85
right,Cortex-A72,Patch,babylon,1.93
right,Cortex-A72,Patch,espree,1.17
right,Cortex-A72,Patch,typescript,1.99
right,Cortex-A72,Patch,buble,1.15
right,Cortex-A72,Patch,terser,4.01
right,Cortex-A72,Patch,prettier,1.78
right,Cortex-A72,Patch,chai,3.2
right,Cortex-A72,Patch,prepack,1.72
right,Cortex-A72,Patch,babel,1.86
right,Cortex-A72,Patch,esprima,1.49
right,Cortex-A72,Patch,lebab,2.1
left,Cortex-A72,Patch,gc:V8.GC_MC_SWEEP,12943
left,Cortex-A72,Patch,gc:V8.GC_MC_EVACUATE,114559
right,Cortex-A72,Patch,uglify-js,1.15
right,Cortex-A72,Patch,acorn,2.01
right,Cortex-A72,Patch,babel-minify,2.29
right,Cortex-A72,Patch,postcss,1.26
right,Cortex-A72,Patch,source-map,2.21
right,Cortex-A53,Baseline,coffeescript,0.74
right,Cortex-A53,Baseline,jshint,1.03
right,Cortex-A53,Baseline,mean,0.87
right,Cortex-A53,Baseline,babylon,0.97
right,Cortex-A53,Baseline,espree,0.52
right,Cortex-A53,Baseline,typescript,1.05
right,Cortex-A53,Baseline,buble,0.57
right,Cortex-A53,Baseline,terser,1.85
right,Cortex-A53,Baseline,prettier,0.81
right,Cortex-A53,Baseline,chai,1.42
right,Cortex-A53,Baseline,prepack,0.8
right,Cortex-A53,Baseline,babel,0.85
right,Cortex-A53,Baseline,esprima,0.82
right,Cortex-A53,Baseline,lebab,0.99
left,Cortex-A53,Baseline,gc:V8.GC_MC_SWEEP,29642
left,Cortex-A53,Baseline,gc:V8.GC_MC_EVACUATE,196533
right,Cortex-A53,Baseline,uglify-js,0.56
right,Cortex-A53,Baseline,acorn,0.89
right,Cortex-A53,Baseline,babel-minify,1.08
right,Cortex-A53,Baseline,postcss,0.62
right,Cortex-A53,Baseline,source-map,0.94
right,Cortex-A53,Patch,coffeescript,0.77
right,Cortex-A53,Patch,jshint,1.02
right,Cortex-A53,Patch,mean,0.88
right,Cortex-A53,Patch,babylon,0.99
right,Cortex-A53,Patch,espree,0.53
right,Cortex-A53,Patch,typescript,1.06
right,Cortex-A53,Patch,buble,0.56
right,Cortex-A53,Patch,terser,1.86
right,Cortex-A53,Patch,prettier,0.85
right,Cortex-A53,Patch,chai,1.43
right,Cortex-A53,Patch,prepack,0.84
right,Cortex-A53,Patch,babel,0.84
right,Cortex-A53,Patch,esprima,0.81
right,Cortex-A53,Patch,lebab,0.99
left,Cortex-A53,Patch,gc:V8.GC_MC_SWEEP,25231
left,Cortex-A53,Patch,gc:V8.GC_MC_EVACUATE,122193
right,Cortex-A53,Patch,uglify-js,0.55
right,Cortex-A53,Patch,acorn,0.88
right,Cortex-A53,Patch,babel-minify,1.1
right,Cortex-A53,Patch,postcss,0.61
right,Cortex-A53,Patch,source-map,0.95
right,Cortex-A72,Baseline,coffeescript,1.68
right,Cortex-A72,Baseline,jshint,2.12
right,Cortex-A72,Baseline,mean,1.8
right,Cortex-A72,Baseline,babylon,1.89
right,Cortex-A72,Baseline,espree,1.01
right,Cortex-A72,Baseline,typescript,2.11
right,Cortex-A72,Baseline,buble,1.14
right,Cortex-A72,Baseline,terser,3.94
right,Cortex-A72,Baseline,prettier,1.84
right,Cortex-A72,Baseline,chai,3.16
right,Cortex-A72,Baseline,prepack,1.7
right,Cortex-A72,Baseline,babel,1.88
right,Cortex-A72,Baseline,esprima,1.79
right,Cortex-A72,Baseline,lebab,2.01
left,Cortex-A72,Baseline,gc:V8.GC_MC_SWEEP,20946
left,Cortex-A72,Baseline,gc:V8.GC_MC_EVACUATE,114511
right,Cortex-A72,Baseline,uglify-js,1.1
right,Cortex-A72,Baseline,acorn,1.31
right,Cortex-A72,Baseline,babel-minify,2.26
right,Cortex-A72,Baseline,postcss,1.27
right,Cortex-A72,Baseline,source-map,2.32
right,Cortex-A72,Patch,coffeescript,1.71
right,Cortex-A72,Patch,jshint,2.17
right,Cortex-A72,Patch,mean,1.83
right,Cortex-A72,Patch,babylon,1.92
right,Cortex-A72,Patch,espree,1.02
right,Cortex-A72,Patch,typescript,2.1
right,Cortex-A72,Patch,buble,1.15
right,Cortex-A72,Patch,terser,3.77
right,Cortex-A72,Patch,prettier,1.67
right,Cortex-A72,Patch,chai,3.17
right,Cortex-A72,Patch,prepack,1.86
right,Cortex-A72,Patch,babel,1.87
right,Cortex-A72,Patch,esprima,1.77
right,Cortex-A72,Patch,lebab,2.09
left,Cortex-A72,Patch,gc:V8.GC_MC_SWEEP,14417
left,Cortex-A72,Patch,gc:V8.GC_MC_EVACUATE,131863
right,Cortex-A72,Patch,uglify-js,1.16
right,Cortex-A72,Patch,acorn,1.44
right,Cortex-A72,Patch,babel-minify,2.33
right,Cortex-A72,Patch,postcss,1.23
right,Cortex-A72,Patch,source-map,2.39
right,Cortex-A53,Baseline,coffeescript,0.81
right,Cortex-A53,Baseline,jshint,1.07
right,Cortex-A53,Baseline,mean,0.89
right,Cortex-A53,Baseline,babylon,1.0
right,Cortex-A53,Baseline,espree,0.52
right,Cortex-A53,Baseline,typescript,1.06
right,Cortex-A53,Baseline,buble,0.56
right,Cortex-A53,Baseline,terser,1.87
right,Cortex-A53,Baseline,prettier,0.85
right,Cortex-A53,Baseline,chai,1.44
right,Cortex-A53,Baseline,prepack,0.84
right,Cortex-A53,Baseline,babel,0.83
right,Cortex-A53,Baseline,esprima,0.85
right,Cortex-A53,Baseline,lebab,1.0
left,Cortex-A53,Baseline,gc:V8.GC_MC_SWEEP,29787
left,Cortex-A53,Baseline,gc:V8.GC_MC_EVACUATE,162773
right,Cortex-A53,Baseline,uglify-js,0.54
right,Cortex-A53,Baseline,acorn,0.88
right,Cortex-A53,Baseline,babel-minify,1.11
right,Cortex-A53,Baseline,postcss,0.62
right,Cortex-A53,Baseline,source-map,1.01
right,Cortex-A53,Patch,coffeescript,0.76
right,Cortex-A53,Patch,jshint,1.05
right,Cortex-A53,Patch,mean,0.88
right,Cortex-A53,Patch,babylon,0.99
right,Cortex-A53,Patch,espree,0.53
right,Cortex-A53,Patch,typescript,1.06
right,Cortex-A53,Patch,buble,0.58
right,Cortex-A53,Patch,terser,1.85
right,Cortex-A53,Patch,prettier,0.81
right,Cortex-A53,Patch,chai,1.42
right,Cortex-A53,Patch,prepack,0.87
right,Cortex-A53,Patch,babel,0.83
right,Cortex-A53,Patch,esprima,0.8
right,Cortex-A53,Patch,lebab,1.0
left,Cortex-A53,Patch,gc:V8.GC_MC_SWEEP,25709
left,Cortex-A53,Patch,gc:V8.GC_MC_EVACUATE,157397
right,Cortex-A53,Patch,uglify-js,0.54
right,Cortex-A53,Patch,acorn,0.88
right,Cortex-A53,Patch,babel-minify,1.1
right,Cortex-A53,Patch,postcss,0.59
right,Cortex-A53,Patch,source-map,1.0
right,Cortex-A72,Baseline,coffeescript,1.7
right,Cortex-A72,Baseline,jshint,2.04
right,Cortex-A72,Baseline,mean,1.82
right,Cortex-A72,Baseline,babylon,1.91
right,Cortex-A72,Baseline,espree,1.01
right,Cortex-A72,Baseline,typescript,2.11
right,Cortex-A72,Baseline,buble,1.16
right,Cortex-A72,Baseline,terser,3.96
right,Cortex-A72,Baseline,prettier,1.76
right,Cortex-A72,Baseline,chai,3.12
right,Cortex-A72,Baseline,prepack,1.71
right,Cortex-A72,Baseline,babel,1.83
right,Cortex-A72,Baseline,esprima,1.79
right,Cortex-A72,Baseline,lebab,2.17
left,Cortex-A72,Baseline,gc:V8.GC_MC_SWEEP,20737
left,Cortex-A72,Baseline,gc:V8.GC_MC_EVACUATE,141129
right,Cortex-A72,Baseline,uglify-js,1.16
right,Cortex-A72,Baseline,acorn,1.44
right,Cortex-A72,Baseline,babel-minify,2.29
right,Cortex-A72,Baseline,postcss,1.26
right,Cortex-A72,Baseline,source-map,2.37
right,Cortex-A72,Patch,coffeescript,1.69
right,Cortex-A72,Patch,jshint,2.15
right,Cortex-A72,Patch,mean,1.83
right,Cortex-A72,Patch,babylon,1.91
right,Cortex-A72,Patch,espree,1.01
right,Cortex-A72,Patch,typescript,2.15
right,Cortex-A72,Patch,buble,1.2
right,Cortex-A72,Patch,terser,3.98
right,Cortex-A72,Patch,prettier,1.77
right,Cortex-A72,Patch,chai,3.2
right,Cortex-A72,Patch,prepack,1.69
right,Cortex-A72,Patch,babel,1.9
right,Cortex-A72,Patch,esprima,1.8
right,Cortex-A72,Patch,lebab,2.18
left,Cortex-A72,Patch,gc:V8.GC_MC_SWEEP,15944
left,Cortex-A72,Patch,gc:V8.GC_MC_EVACUATE,150576
right,Cortex-A72,Patch,uglify-js,1.12
right,Cortex-A72,Patch,acorn,1.46
right,Cortex-A72,Patch,babel-minify,2.32
right,Cortex-A72,Patch,postcss,1.29
right,Cortex-A72,Patch,source-map,2.14
right,Cortex-A53,Baseline,coffeescript,0.75
right,Cortex-A53,Baseline,jshint,1.05
right,Cortex-A53,Baseline,mean,0.88
right,Cortex-A53,Baseline,babylon,1.0
right,Cortex-A53,Baseline,espree,0.54
right,Cortex-A53,Baseline,typescript,1.05
right,Cortex-A53,Baseline,buble,0.59
right,Cortex-A53,Baseline,terser,1.86
right,Cortex-A53,Baseline,prettier,0.79
right,Cortex-A53,Baseline,chai,1.42
right,Cortex-A53,Baseline,prepack,0.85
